vazao,nivel
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.98,7
1.89,6
1.89,6
1.98,7
1.98,7
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.89,6
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.79,5
1.89,6
1.89,6
1.79,5
1.79,5
1.79,5
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
1.89,6
